2 2|A a:50 b:21 c:77 d:0 e:28 f:0 g:27 h:48 i:22
4 4|A a:55 b:0 c:92 d:0 e:0 f:26 g:36 h:92 i:56
1 1|A a:53 b:0 c:82 d:0 e:52 f:-5 g:29 h:30 i:2
1 1|A a:37 b:0 c:76 d:0 e:28 f:18 g:40 h:48 i:8
1 1|A a:37 b:0 c:79 d:0 e:34 f:-26 g:43 h:46 i:2
5 5|A a:85 b:0 c:88 d:-4 e:6 f:1 g:3 h:83 i:80
4 4|A a:56 b:0 c:81 d:0 e:-4 f:11 g:25 h:86 i:62
1 1|A a:55 b:-1 c:95 d:-3 e:54 f:-4 g:40 h:41 i:2
4 4|A a:53 b:8 c:77 d:0 e:28 f:0 g:23 h:48 i:24
1 1|A a:37 b:0 c:101 d:-7 e:28 f:0 g:64 h:73 i:8
1 1|A a:37 b:0 c:78 d:-2 e:12 f:0 g:42 h:65 i:24
1 1|A a:45 b:0 c:84 d:0 e:46 f:20 g:38 h:37 i:0
1 1|A a:38 b:2 c:77 d:0 e:38 f:7 g:39 h:38 i:0
1 1|A a:37 b:0 c:78 d:0 e:-2 f:5 g:41 h:81 i:40
1 1|A a:41 b:0 c:100 d:0 e:38 f:-8 g:59 h:61 i:2
1 1|A a:41 b:0 c:89 d:1 e:38 f:-16 g:48 h:50 i:2
1 1|A a:47 b:0 c:85 d:-2 e:46 f:-4 g:38 h:39 i:0
1 1|A a:49 b:0 c:79 d:0 e:46 f:-5 g:30 h:32 i:2
1 1|A a:49 b:3 c:82 d:0 e:50 f:4 g:33 h:33 i:0
1 1|A a:37 b:-318 c:105 d:-2 e:36 f:-4 g:68 h:69 i:0
1 1|A a:44 b:3 c:77 d:0 e:44 f:2 g:33 h:33 i:0
5 5|A a:106 b:2 c:108 d:0 e:70 f:0 g:1 h:38 i:36
1 1|A a:37 b:-5 c:76 d:0 e:28 f:0 g:40 h:48 i:8
1 1|A a:49 b:0 c:100 d:0 e:50 f:19 g:52 h:51 i:0
1 1|A a:45 b:-1 c:87 d:-2 e:44 f:-4 g:43 h:43 i:0
1 1|A a:37 b:4 c:80 d:0 e:-2 f:0 g:43 h:83 i:40
4 4|A a:55 b:-1 c:98 d:0 e:52 f:8 g:42 h:46 i:4
1 1|A a:55 b:0 c:86 d:8 e:54 f:0 g:31 h:32 i:0
1 1|A a:55 b:3 c:88 d:3 e:54 f:0 g:32 h:33 i:2
1 1|A a:37 b:0 c:74 d:0 e:26 f:-1 g:38 h:48 i:10
1 1|A a:37 b:0 c:106 d:0 e:36 f:3 g:68 h:69 i:2
1 1|A a:49 b:0 c:107 d:0 e:46 f:-16 g:58 h:60 i:2
5 5|A a:79 b:5 c:83 d:0 e:-46 f:0 g:4 h:130 i:126
1 1|A a:51 b:0 c:79 d:0 e:52 f:29 g:28 h:27 i:0
1 1|A a:59 b:4 c:84 d:0 e:60 f:24 g:25 h:24 i:0
1 1|A a:37 b:0 c:108 d:0 e:30 f:-21 g:71 h:77 i:6
4 4|A a:56 b:3 c:97 d:0 e:46 f:9 g:41 h:51 i:10
1 1|A a:39 b:5 c:77 d:0 e:38 f:0 g:37 h:38 i:0
1 1|A a:51 b:-5 c:81 d:0 e:52 f:0 g:30 h:30 i:0
1 1|A a:49 b:0 c:77 d:0 e:46 f:-9 g:29 h:31 i:2
1 1|A a:46 b:2 c:77 d:0 e:44 f:-19 g:32 h:34 i:2
1 1|A a:56 b:0 c:81 d:0 e:56 f:0 g:24 h:24 i:0
4 4|A a:56 b:0 c:79 d:0 e:16 f:3 g:23 h:63 i:40
1 1|A a:37 b:0 c:105 d:0 e:34 f:4 g:68 h:71 i:4
5 5|A a:76 b:0 c:81 d:-2 e:-40 f:13 g:5 h:122 i:118
1 1|A a:56 b:0 c:80 d:0 e:56 f:7 g:24 h:23 i:0
1 1|A a:41 b:2 c:76 d:0 e:42 f:11 g:35 h:35 i:0
1 1|A a:41 b:1 c:85 d:0 e:38 f:0 g:44 h:46 i:2
4 4|A a:56 b:-4 c:97 d:0 e:52 f:-2 g:41 h:45 i:4
1 1|A a:49 b:0 c:95 d:1 e:50 f:2 g:46 h:46 i:0
1 1|A a:37 b:2 c:76 d:0 e:36 f:0 g:38 h:39 i:2
4 4|A a:56 b:1 c:99 d:0 e:50 f:16 g:42 h:49 i:8
1 1|A a:56 b:-4 c:88 d:0 e:56 f:0 g:31 h:31 i:0
1 1|A a:37 b:-3 c:81 d:-2 e:38 f:-9 g:43 h:42 i:0
1 1|A a:47 b:0 c:84 d:4 e:46 f:0 g:38 h:38 i:0
1 1|A a:41 b:1 c:86 d:2 e:42 f:14 g:45 h:45 i:0
1 1|A a:53 b:3 c:81 d:0 e:54 f:0 g:27 h:26 i:0
1 1|A a:47 b:5 c:79 d:0 e:46 f:0 g:32 h:32 i:0
5 5|A a:104 b:7 c:105 d:7 e:70 f:0 g:1 h:35 i:34
5 5|A a:101 b:-3 c:102 d:-4 e:72 f:0 g:1 h:29 i:28
1 1|A a:45 b:0 c:86 d:0 e:44 f:-17 g:41 h:42 i:2
1 1|A a:42 b:4 c:77 d:0 e:42 f:1 g:35 h:35 i:0
1 1|A a:45 b:0 c:79 d:0 e:44 f:-4 g:34 h:35 i:2
1 1|A a:37 b:0 c:80 d:0 e:36 f:15 g:43 h:44 i:2
4 4|A a:56 b:0 c:96 d:-1 e:44 f:0 g:40 h:52 i:12
4 4|A a:56 b:0 c:81 d:0 e:-10 f:-3 g:25 h:92 i:66
1 1|A a:42 b:0 c:83 d:2 e:42 f:0 g:41 h:42 i:2
1 1|A a:51 b:1 c:88 d:0 e:52 f:7 g:37 h:37 i:0
1 1|A a:49 b:3 c:82 d:0 e:46 f:-8 g:33 h:35 i:2
1 1|A a:41 b:1 c:86 d:3 e:42 f:6 g:45 h:45 i:0
1 1|A a:37 b:0 c:77 d:0 e:336 f:4910 g:41 h:-258 i:-298
1 1|A a:49 b:0 c:84 d:0 e:46 f:-4 g:36 h:38 i:2
1 1|A a:37 b:-1 c:77 d:-3 e:34 f:-6 g:40 h:43 i:2
1 1|A a:41 b:0 c:79 d:0 e:38 f:-23 g:38 h:41 i:2
1 1|A a:51 b:0 c:79 d:0 e:52 f:2 g:27 h:27 i:0
4 4|A a:55 b:-1 c:79 d:-4 e:20 f:-12 g:24 h:59 i:34
1 1|A a:41 b:0 c:77 d:0 e:42 f:5 g:37 h:36 i:0
1 1|A a:46 b:-3 c:80 d:0 e:46 f:0 g:34 h:34 i:0
4 4|A a:56 b:0 c:79 d:0 e:-2 f:-24 g:24 h:82 i:58
1 1|A a:44 b:0 c:82 d:-1 e:44 f:0 g:38 h:38 i:0
1 1|A a:45 b:0 c:83 d:0 e:46 f:31 g:37 h:36 i:0
1 1|A a:37 b:0 c:77 d:-1 e:36 f:4 g:40 h:41 i:0
1 1|A a:37 b:0 c:75 d:-1 e:36 f:0 g:38 h:39 i:0
1 1|A a:37 b:1 c:77 d:-2 e:34 f:0 g:40 h:43 i:2
1 1|A a:51 b:0 c:79 d:0 e:50 f:-6 g:28 h:30 i:2
1 1|A a:46 b:-4 c:76 d:-1 e:46 f:0 g:29 h:29 i:0
1 1|A a:49 b:0 c:77 d:5 e:50 f:5 g:28 h:28 i:0
1 1|A a:45 b:0 c:108 d:0 e:44 f:-3 g:62 h:64 i:2
1 1|A a:42 b:0 c:79 d:-2 e:42 f:0 g:36 h:37 i:2
1 1|A a:37 b:0 c:78 d:0 e:20 f:-10 g:41 h:57 i:16
1 1|A a:37 b:0 c:76 d:-3 e:36 f:-10 g:39 h:40 i:2
1 1|A a:53 b:5 c:84 d:0 e:52 f:-5 g:31 h:32 i:2
1 1|A a:38 b:4 c:76 d:0 e:38 f:4 g:38 h:37 i:0
1 1|A a:40 b:0 c:80 d:0 e:38 f:-2 g:40 h:41 i:2
1 1|A a:47 b:2 c:95 d:3 e:46 f:0 g:48 h:49 i:0
1 1|A a:45 b:0 c:79 d:5 e:44 f:0 g:34 h:35 i:2
1 1|A a:41 b:-1 c:86 d:0 e:42 f:0 g:45 h:45 i:0
4 4|A a:55 b:0 c:95 d:0 e:36 f:13 g:40 h:59 i:20
1 1|A a:56 b:0 c:95 d:0 e:56 f:15 g:40 h:39 i:0
1 1|A a:51 b:-3 c:83 d:0 e:50 f:-14 g:32 h:33 i:2
1 1|A a:37 b:0 c:75 d:0 e:34 f:10 g:38 h:41 i:2
1 1|A a:37 b:0 c:75 d:0 e:28 f:16 g:38 h:46 i:8
5 5|A a:81 b:-2 c:84 d:0 e:-18 f:-30 g:4 h:103 i:98
1 1|A a:43 b:0 c:95 d:-4 e:42 f:-4 g:52 h:54 i:2
1 1|A a:41 b:0 c:84 d:2 e:42 f:25 g:43 h:43 i:0
1 1|A a:49 b:0 c:87 d:-7 e:46 f:-25 g:38 h:41 i:2
1 1|A a:49 b:0 c:83 d:0 e:46 f:-14 g:34 h:37 i:2
1 1|A a:37 b:-3 c:77 d:0 e:20 f:0 g:40 h:56 i:16
5 5|A a:81 b:0 c:84 d:0 e:-12 f:29 g:4 h:97 i:94
1 1|A a:55 b:1 c:84 d:0 e:54 f:-1 g:29 h:30 i:2
4 4|A a:55 b:0 c:96 d:0 e:46 f:23 g:41 h:50 i:8
1 1|A a:42 b:0 c:81 d:-2 e:42 f:-4 g:39 h:39 i:0
5 5|A a:79 b:0 c:83 d:0 e:-40 f:3 g:4 h:125 i:120
1 1|A a:59 b:-5 c:84 d:0 e:60 f:6 g:25 h:24 i:0
1 1|A a:56 b:-3 c:87 d:0 e:56 f:0 g:31 h:30 i:0
4 4|A a:55 b:0 c:82 d:1 e:-10 f:0 g:26 h:92 i:66
4 4|A a:56 b:0 c:92 d:0 e:-2 f:-4 g:36 h:95 i:58
1 1|A a:46 b:0 c:80 d:0 e:46 f:0 g:34 h:34 i:0
